fvc_true,fvc_pred
3.0,3.04502392344496
3.15,3.175311004784694
3.3,3.0269377990430497
3.8,3.9431578947368497
2.8,3.0571531100478184
3.02,3.2767942583731866
3.71,3.7987081339712803
3.61,3.748157894736855
3.1,2.9590669856459235
2.89,2.9072727272727326
3.04,3.0846650717703157
3.99,3.753014354066977
3.11,3.1841626794258406
3.11,3.1153588516746433
3.05,3.0430861244018925
3.05,2.8872966507177016
3.06,3.1309569377990365
3.11,3.040861244019128
3.16,3.0330143540669683
2.87,3.1150956937799004
2.9,2.5850956937799103
3.02,3.0405023923444907
3.92,3.15854066985647
3.08,3.205980861244034
3.17,3.0399999999999805
3.21,3.1401435406698606
3.21,3.1124880382775117
3.0,3.7362679425837424
3.35,2.886602870813385
4.24,4.071100478468911
4.24,3.926124401913887
3.09,3.4546889952153195
3.39,2.87626794258372
3.3,3.2988038277511866
3.02,2.662655502392338
3.15,3.336172248803808
3.15,3.360095693779883
3.7,2.793157894736843
4.45,4.34598086124405
4.45,4.311387559808642
2.75,2.8132057416267884
2.75,2.627607655502385
2.91,2.8548086124401912
2.91,2.94023923444976
2.65,2.8330143540669837
2.65,2.5059569377990387
2.42,2.8581818181818166
3.91,4.116842105263187
3.91,4.009066985645957
3.31,3.227655502392319
3.3,3.1852153110047756
3.3,3.2410526315789383
